Day 5 pos,Day 5 neg,,Day 10 pos,Day 10 neg,,Day 15 pos,Day 15 neg,,Day 20 pos,Day 20 neg
PPP1CB,PENK,,KIAA1468,SHISA5,,M6PR,LRFN1,,NAT14,ALDH1L1
KRTAP24-1,ABI3,,ADIG,HELLS,,SLCO4A1,VCX2,,FAAH2,CCT4
ATG3,SETD8,,TH1L,C1orf114,,COL17A1,RPS4Y1,,TOMM6,ELOVL5
PATE2,TPM4,,SEPHS2,FAM186A,,KRTAP24-1,TSPO,,ZSCAN16,GSDMD
HIST1H2BO,CT62,,HAMP,SSPN,,TOP2A,SNX17,,ROR2,USH2A
MAT2A,RPP30,,PABPN1L,TBX1,,C19orf76,SPACA7,,DVL2,PLP1
WDR49,SLC6A3,,FAM126B,GRM5,,DGKH,NCR3,,MAT2A,SLC2A7
PLA2G10,ACSM5,,ISG20L2,MESDC2,,FAM22F,ARHGAP8,,HINT2,TUB
GRID2,TMEM88B,,CCDC71L,GBA,,OR52A1,SWSAP1,,TUBG2,NSMAF
FAAH2,RELN,,OR52A1,STRADA,,ZNF385B,RELB,,HARBI1,COL3A1
SLCO4A1,RXFP2,,EFHC1,CWC25,,CEP135,ARHGAP9,,IRF2BP1,EEF1D
SEPHS2,AP3S1,,TOMM6,C20orf141,,CEPT1,TAF6,,MRPS10,MRO
ATP8A2,FOXF2,,RIMKLB,DHX40,,GNL2,SLC35A2,,SLCO4A1,SPOCK2
CD69,LRRC37B,,ZRANB3,DENND4B,,ZXDA,FAM166A,,SAV1,NLRP2
OPALIN,SNX17,,NAIP,ZNF878,,HIST1H2BG,EHMT2,,EFHC1,ANKH
PNISR,UPK3A,,APOC3,MSN,,NBN,TRPV6,,TOMM7,TRIM71
ERRFI1,MEF2D,,C1orf56,TOX,,SEC61G,ATP5J2,,ST18,MMP1
FAM22F,TNRC6B,,C19orf76,PRTN3,,MYH1,NRN1L,,WDR89,MIF4GD
AIFM2,MAP3K5,,SH3RF2,MFRP,,KRT37,KRT32,,CDA,KDM3A
ITGB6,SMR3A,,TRPM5,DUSP2,,CHRM1,MTO1,,TRAFD1,OR10A4
TMOD3,PDE11A,,NKX2-2,EPN2,,RAB8B,GSDMD,,MAGEC2,ERGIC3
EFHC1,CTPS2,,CYP4F22,RBM28,,FOXK1,PLEKHG6,,HNF1A,BHLHB9
PLGRKT,CTDP1,,ATXN7L3,VARS2,,DIP2C,ELP2,,SEC61G,USP39
RIMKLB,PLCB1,,LCE2B,SLC4A4,,FAM161B,UBE2D4,,APOC3,OR8K5
GJC3,AKAP7,,PTDSS1,ABHD1,,CD69,IL1RN,,CCDC94,PTGR1
RALYL,DEFB114,,ZNF354A,KLHL7,,RTKN2,CLCNKA,,DMWD,DBF4B
NEK11,CCDC56,,SP7,PRIM1,,ZNF610,ACO1,,TEX33,PSEN1
CD5,APOC1,,ST18,NMD3,,SLC45A1,GCC2,,ZBTB12,ILF3
ZXDA,SDR16C5,,PIWIL4,ZNF727,,PATE2,PQBP1,,KDELC1,ARRDC1
REEP6,KLHL29,,ODF3,RHEBL1,,MUC5B,TM9SF3,,CRYBA2,ANKRD65
FAM71C,PJA1,,CD151,ANO3,,UFSP1,GCA,,CTBP2,MYOG
UBFD1,RELB,,PHOSPHO1,THBS1,,ARSE,SLC13A3,,RAD21L1,PPP2R2A
SYT8,KRTAP10-11,,TMIGD1,ADI1,,ARHGAP31,CPD,,ZNF501,TEX15
HIST1H2BA,SPACA3,,CEPT1,DSC1,,LMBRD1,TMEM186,,TH1L,HEMGN
DDX51,C14orf93,,EIF2C2,KRT23,,ODF3L2,MBL2,,FBXO2,PSRC1
HAMP,GFI1B,,IRAK3,EXPH5,,ARL4D,FAM155A,,PLN,KRTAP13-2
CEP135,PRKAA1,,CEP135,IL1RAP,,BNC1,HCN4,,UFSP1,MMP24
CAMK2N1,FBXL19,,PSENEN,JDP2,,C22orf40,PSMB4,,CCDC71L,ZNF410
CLASRP,DDX27,,OAZ3,IL1R1,,ZNF564,SH3TC2,,CD5,ROPN1L
FICD,MS4A4A,,EIF4EBP3,STAT2,,SH3RF2,LPGAT1,,COL5A2,PARP1
DLGAP2,GPR56,,C11orf80,ZNRF2,,MRPL54,ABCC11,,A2M,KCNMB2
RAB9B,YES1,,MPP4,EPS8L2,,TREML4,C2orf73,,COX4I2,POC1A
TAL2,LAG3,,EIF3K,KRT12,,KCNJ12,CCNI2,,OR10AG1,SLC8A2
NXPE2,EVC,,DGKH,SLC35B2,,STARD6,ASIC4,,HAMP,NCF4
ZSCAN16,SFTPD,,NPTX1,TMEM116,,IFNG,OR11L1,,ICAM2,HOMEZ
ONECUT2,PDZD4,,HRSP12,DEFA6,,TMEM204,PRMT2,,APOB,PPP6R1
LMBR1,CDC40,,FAM47B,COX16,,C11orf21,LMOD3,,CHCHD1,PLA2G4B
PON3,NTMT1,,SLC7A10,AC087645.3,,PKDREJ,UHRF2,,C17orf66,CHST2
SLC9C2,CNEP1R1,,C8orf74,TEX34,,ZRANB3,PYHIN1,,COL4A1,GRM1
LIPG,ECT2L,,ABCG8,CAMSAP3,,PNOC,C8A,,FAM161B,LRRC29
AFP,H2BFWT,,OR5AU1,CBX3,,DHRS7,APC2,,HIST1H2BB,MARK3
FAM187B,KRT40,,LAPTM4A,DENND1A,,ZNF529,ADM2,,TBRG1,ZSCAN30
C12orf56,NFRKB,,RRS1,CCDC34,,EDN1,KDM3A,,DDX6,TMCO3
SGCG,PRIM1,,COL5A2,SHFM1,,EFHC1,SCGB2A2,,TMOD3,GFI1B
CDC42EP4,LPHN1,,PDSS2,SREK1IP1,,VWA2,GTF2I,,NKX2-1,SPAG9
SKP1,CDK5,,NEUROD6,C7orf59,,MEIG1,NSA2,,ZNF813,ARL6IP6
HAUS1,FAM134A,,POLR2A,GJB6,,ERVFRD-1,INSC,,OR51G1,SNAP91
C8orf74,BPHL,,ARFRP1,BNIPL,,KLF17,RNF217,,HIST1H2BA,BANP
IRX1,CIITA,,ODF3L2,SLC34A1,,MPEG1,STK17B,,RELT,MAP2K3
IL18,CPA4,,AIDA,ZMAT1,,ACADS,NCOA1,,CA14,CCDC50
MAGEA1,LTC4S,,ZDHHC6,DNPEP,,TUBG2,CSAD,,EXOSC1,ELL2
FAM126B,DNAL1,,FAM187B,UQCC,,PGLS,AKNA,,ALCAM,INPP5B
POLR1B,BGN,,AMIGO3,NLRP14,,HSBP1L1,SLC26A9,,TRMT61A,GRIA4
HSPB2,ADCY4,,ZNF431,KLF2,,USP28,SIX1,,ANKRD45,PBXIP1
SLC25A35,ZMAT1,,BNC1,CLPP,,CALM3,CALHM3,,SLC15A1,KIR2DL1
PDE6G,PIGR,,SERPING1,TMEM106C,,MRTO4,CDKN2B,,GPR37,FHOD3
COL5A2,PAAF1,,HIST1H2BO,ARID3C,,FOXN4,CIAPIN1,,RIMBP2,ALG5
SEC61G,TRAPPC12,,TYR,SDR16C5,,PDZD11,PSAT1,,RPL39L,LAT
ZNF700,NUP43,,BLOC1S2,SLC25A1,,FAM83E,ALG5,,KCTD19,OTUB1
IRAK3,DPPA5,,ZNF358,EIF6,,MAN1C1,GCNT2,,SEMA3F,SWSAP1
RPS15A,SRRM2,,S100A13,STRA13,,RNF121,IGSF9,,DDX51,MAP3K3
MAGEF1,GRIA4,,OTOP3,ZNF136,,ROR2,TBCE,,CLASRP,FBXW9
MX1,ELK4,,GDAP1L1,AKAP7,,EIF4EBP3,C2CD2,,POU2AF1,SEMA4D
MPEG1,C1orf159,,FAAH2,TM9SF3,,RPS16,MSANTD2,,MYH1,PCDH19
TAF1L,ADAMDEC1,,WAS,APOL2,,ARMCX3,CACNA2D4,,KHDC1,AIM2
KLK15,CACNG2,,HOXD9,NHLH2,,HSP90AB1,C16orf13,,C1orf194,RP4-805N21.1
FGF19,SLC1A2,,FBXO2,TIMM13,,STX17,C17orf72,,LAPTM4A,PRPF4
SCRN3,METTL13,,LRRN3,ACTA1,,C16orf3,BHLHB9,,NBN,NTNG1
GPRASP1,OAS3,,ZNF536,VPS45,,ZNF227,LRRC24,,KLF5,DNAAF3
MTG1,MEAF6,,HIST1H2BG,DLEC1,,FPR1,KDM4C,,SCGB1C1,OR5B2
ANGPT1,BABAM1,,C5orf22,MPV17L,,POLR1B,RSBN1,,RALYL,CPXCR1
ACOXL,EMC4,,TAF1L,APBA1,,ODF3,NPC1L1,,ZNF564,PRPS2
GNAI3,PIK3CB,,TXNDC15,OR4C16,,DDX51,ITM2A,,OR6C2,ASH2L
GALK2,CASP3,,OR51A7,HCN4,,PRAMEF13,TMPRSS11A,,SLC25A35,ENPEP
NPTX1,GPRC5C,,INPP5E,SI,,OR14A16,MUTED,,C16orf3,PRR23A
RBM3,MYBL1,,UBFD1,HDLBP,,HSPA5,APRT,,ARMCX3,SLC6A2
CPA3,CCDC22,,B3GNT9,MRPL37,,CYTL1,ZNF18,,FAM83E,AAAS
PNOC,C16orf73,,RPS15A,HYDIN,,ANKRD45,FATE1,,DSG3,REG4
EIF3K,PCDH17,,NAALAD2,WDR24,,GRIK5,MET,,CEL,GLP1R
GNL2,C7orf29,,ADAMTS6,ASUN,,POLR2A,MEGF6,,FAM117B,TOX3
CEBPB,CCNO,,SGTA,MEGF6,,COL5A2,SRP54,,L3MBTL4,KCNJ2
RIPK1,MALSU1,,ARMC7,THOC1,,FAM160A1,TMBIM6,,HOMER2,AHRR
